5.7	-0.0447 -0.297 -0.0447	-0.152 -0.328 -0.152	0.197 0.625 0.197	
5.8	-0.0392 -0.277 -0.0392	-0.129 -0.351 -0.129	0.169 0.628 0.169	
5.9	-0.0331 -0.255 -0.0331	-0.106 -0.373 -0.106	0.139 0.628 0.139	
6	-0.0264 -0.229 -0.0264	-0.0829 -0.394 -0.0829	0.109 0.622 0.109	
6.1	-0.0192 -0.199 -0.0192	-0.0591 -0.413 -0.0591	0.0783 0.612 0.0783	
6.2	-0.0116 -0.166 -0.0116	-0.0352 -0.431 -0.0352	0.0468 0.597 0.0468	
6.3	-0.0038 -0.129 -0.0038	-0.011 -0.448 -0.011	0.0148 0.577 0.0148	
6.4	0.00413 -0.0888 0.00413	0.0131 -0.462 0.0131	-0.0172 0.551 -0.0172	
6.5	0.0119 -0.0453 0.0119	0.0372 -0.474 0.0372	-0.0491 0.519 -0.0491	
6.6	0.0194 0.00047 0.0194	0.061 -0.482 0.061	-0.0804 0.481 -0.0804	
6.7	0.0262 0.0472 0.0262	0.0845 -0.486 0.0845	-0.111 0.439 -0.111	
6.8	0.0323 0.0935 0.0323	0.107 -0.485 0.107	-0.14 0.391 -0.14	
6.9	0.0374 0.137 0.0374	0.129 -0.478 0.129	-0.166 0.34 -0.166	
7	0.0417 0.177 0.0417	0.15 -0.464 0.15	-0.191 0.286 -0.191	
7.1	0.0452 0.212 0.0452	0.168 -0.442 0.168	-0.214 0.23 -0.214	
7.2	0.048 0.24 0.048	0.185 -0.413 0.185	-0.233 0.173 -0.233	
7.3	0.0504 0.262 0.0504	0.199 -0.375 0.199	-0.25 0.113 -0.25	
7.4	0.0525 0.275 0.0525	0.21 -0.329 0.21	-0.263 0.0531 -0.263	
7.5	0.0544 0.282 0.0544	0.216 -0.273 0.216	-0.27 -0.00833 -0.27	
7.6	0.0561 0.281 0.0561	0.215 -0.21 0.215	-0.271 -0.0708 -0.271	
7.7	0.0576 0.272 0.0576	0.204 -0.138 0.204	-0.262 -0.133 -0.262	
7.8	0.0586 0.256 0.0586	0.179 -0.0625 0.179	-0.237 -0.193 -0.237	
7.9	0.0589 0.232 0.0589	0.138 0.0125 0.138	-0.196 -0.245 -0.196	
8	0.0578 0.202 0.0578	0.0846 0.0822 0.0846	-0.142 -0.284 -0.142	
8.1	0.0545 0.164 0.0545	0.0259 0.145 0.0259	-0.0805 -0.309 -0.0805	
8.2	0.0483 0.116 0.0483	-0.0339 0.202 -0.0339	-0.0143 -0.318 -0.0143	
8.3	0.0389 0.055 0.0389	-0.0924 0.253 -0.0924	0.0535 -0.308 0.0535	
8.4	0.0287 -0.0249 0.0287	-0.148 0.298 -0.148	0.119 -0.273 0.119	
8.5	0.0253 -0.124 0.0253	-0.199 0.334 -0.199	0.174 -0.21 0.174	
8.6	0.0337 -0.227 0.0337	-0.247 0.363 -0.247	0.213 -0.136 0.213	
8.7	0.0509 -0.321 0.0509	-0.29 0.386 -0.29	0.239 -0.0647 0.239	
8.8	0.0726 -0.403 0.0726	-0.329 0.403 -0.329	0.257 0.000583 0.257	
