1 0
2 0
3 3.6705515071844274644e-08
4 1.4020258592983836365e-08
5 6.4746033590079576925e-08
5 7.0101294769031596843e-08
6 1.4020259139074786603e-07
7 2.0699415148595079472e-07
8 3.4924227144614294893e-07
9 5.5497221671321761427e-07
10 9.0499581059146072537e-07
11 1.4594851434736669238e-06
12 2.3647793926939719711e-06
13 3.824080090947040364e-06
14 6.188973477059666467e-06
15 1.0012983116197498278e-05
16 1.6202000134870892922e-05
17 2.6214956340870525578e-05
18 4.2416973107158853148e-05
19 6.8631919169247877104e-05
20 0.00011104889862904323249
21 0.00017968081387214571716
22 0.00029072971492768030343
23 0.0004704105273001718871
24 0.0007611402431546895192
25 0.001231550769882044493
26 0.0019926910133907542108
27 0.0032242417830540019349
28 0.0052169327965799804428
29 0.0084411745795504086048
30 0.013658107376182039572
31 0.02209928195570052753
32 0.035757389331902297847
33 0.05785667128759063027
34 0.093614060619500463756
35 0.15147073190708643109
36 0.24508479252658976755
37 0.39655552443367442228
38 0.64164031696026535556
39 1.0381958413939391672
40 1.6798361583542047448
41 2.71803199974814369
42 4.3978681581023488789
43 7.1159001578504916807
44 11.513768315952841448
45 18.629668473803331352
46 30.1434367897561728
47 48.773105263559507705
48 78.916542053315680505
49 127.6896473168751811
50 206.60618937019086161
51 334.29583668706607114
52 540.9020260572568759
53 875.19786274432294704
54 1416.0998888015799366
55 2291.2977515459028837
56 3707.3976403474825929
57 5998.6953918933859313
58 9706.0930322408676147
59 15704.788424134254456
60 25410.88145637512207
61 41115.669880509376526
62 66526.551336884498596
63 107642.22121739387512
64 174168.77255427837372
65 281810.99377167224884
66 455979.76632595062256
67 737790.7600976228714
68 1193770.526423573494
69 1931561.2865211963654
70 3125331.8129447698593
71 5056893.0994659662247
72 8182224.912410736084
73 13239118.011876702309
74 21421342.924287438393
75 34660460.936164140701
76 56081803.860451579094
77 90742264.796615719795
78 146824068.65706729889
79 237566333.45368301868
80 384390402.11075031757
81 621956735.56443333626
82 1006347137.6751836538
83 1628303873.2396168709
84 2634651010.9148006439
85 4262954884.1544175148
86 6897605895.0692186356
87 11160560779.223636627
88 18058166674.292854309
89 29218727453.516490936
90 47276894127.809341431
91 76495621581.325836182
92 123772515709.13517761
93 200268137290.46099854
94 324040652999.59619141
95 524308790290.05718994
96 848349443289.65344238
97 1372658233579.7106934
98 2221007676869.3637695
99 3593665910449.074707
100 0
